run,status,threshold,validation_pr_auc,validation_f1,validation_roc_auc,validation_mcc,test_pr_auc,test_f1
before_selected_weighted_ce_threshold,COMPLETED,0.01,0.0238619195197262,0.0366058499855198,0.5151951123877682,-0.0019348134260023,0.0178861587268738,0.0257524374735057
before_timeboxed_wrs,INCOMPLETE,0.5,0.0229832802457281,0.0434810909327605,0.4710947623484662,0.0084124678448127,0.020794165802888,0.0402455131691399
after_wrs_threshold_optimized,COMPLETED,0.01,0.0207325313205876,0.0410870960838861,0.4657609339990592,-0.0152972676398235,0.0202504718303431,0.0361602763991977
