horizon_min,model,status,validation_pr_auc,validation_f1,validation_roc_auc,validation_mcc,test_pr_auc,test_f1,test_roc_auc,test_mcc,threshold
10.0,eegnet,COMPLETED,0.0238619195197262,0.0366058499855198,0.5151951123877682,-0.0019348134260023,0.0178861587268738,0.0257524374735057,0.500695086806004,-0.0076121106749563,0.01
7.5,eegnet,COMPLETED,0.021141609804757,0.0270583687669114,0.5704825275410009,-0.0004526364180486,0.0150147781808049,0.0257695060844667,0.55186370273474,0.0017940028868837,0.01
5.0,eegnet,COMPLETED,0.0139759807630227,0.0169154228855721,0.5449164922390943,-0.000850591334895,0.0092436173300891,0.0180785439442985,0.4970357217610269,0.0023972633594868,0.01
3.0,eegnet,COMPLETED,0.0072216470559508,0.007572172266919,0.4817170059466956,0.0001458045857127,0.0049593432191003,0.0053191489361702,0.4396078103797322,-0.0007998955135985,0.01
